crmid;firstname;lastname;email;brand;birthdate;folder;segment;acquisition_date;country;gender;language;owns_machine
CRM0000001060;Christophe;Protat;protat@yopmail.com;coffeeworks;12/10/2003;nmsRootRecipient;occasional;2024-12-14;FR;F;fr;False
CRM0000001106;Rhys;Moss;rhysmoss544@emailsim.io;coffeeworks;01/02/1972;nmsRootRecipient;prospect;2025-10-29;FR;M;fr;False
CRM0000001107;Chapin;Durand;chapindurand1054@emailsim.io;coffeeworks;06/02/1939;nmsRootRecipient;one_time;2023-02-21;US;M;en;True
CRM0000001108;Joseph;Bergman;josephbergman1228@emailsim.io;coffeeworks;08/03/1937;nmsRootRecipient;occasional;2025-03-29;FR;M;fr;True
CRM0000001109;Noelle;Ek;noelleek15771@emailsim.io;coffeeworks;07/04/1937;nmsRootRecipient;active_medium;2024-07-17;FR;M;fr;True
CRM0000001110;Kate;Hale;katehale2724@yopmail.com;coffeeworks;08/10/1974;nmsRootRecipient;active_medium;2024-05-16;US;M;en;True
CRM0000001111;Jamie;Dove;jamiedove4154@emailsim.io;coffeeworks;07/02/1978;nmsRootRecipient;active_high;2024-04-02;US;M;en;True
CRM0000001112;Amy;Bruce;amybruce4264@emailsim.io;coffeeworks;02/10/1985;nmsRootRecipient;lapsed;2023-05-23;US;F;en;False
CRM0000001113;Dirk;Klein;dirkklein4273@emailsim.io;coffeeworks;09/10/1991;nmsRootRecipient;one_time;2023-07-29;UK;M;en;True
CRM0000001114;Anais;Poulin;anaispoulin4884@emailsim.io;coffeeworks;02/11/1947;nmsRootRecipient;one_time;2023-06-28;DE;Other;de;False
CRM0000001115;David;Beet;davidbeet5063@emailsim.io;coffeeworks;01/01/1990;nmsRootRecipient;active_high;2025-05-14;FR;M;fr;True
CRM0000001116;Sam;Payne;sampayne6092@yopmail.com;coffeeworks;03/10/1946;nmsRootRecipient;prospect;2025-10-19;UK;F;en;False
CRM0000001117;Joe;Quinn;joequinn6650@emailsim.io;coffeeworks;09/01/1963;nmsRootRecipient;lapsed;2023-01-31;UK;F;en;False
CRM0000001118;Jaxon;Owen;jaxonowen7777@emailsim.io;coffeeworks;04/08/1982;nmsRootRecipient;active_medium;2023-07-11;US;F;en;True
CRM0000001119;Kai;Noble;kainoble7912@emailsim.io;coffeeworks;03/07/1978;nmsRootRecipient;active_medium;2024-03-23;US;M;en;True
CRM0000001120;Sara;Wulf;sarawulf8016@yopmail.com;coffeeworks;04/05/1932;nmsRootRecipient;active_medium;2024-04-21;UK;F;en;True
CRM0000001121;Owen;Thomas;owenthomas8291@emailsim.io;coffeeworks;12/04/1968;nmsRootRecipient;active_medium;2025-10-31;UK;M;en;True
CRM0000001122;Yahya;Ek;yahyaek8409@emailsim.io;coffeeworks;05/04/1989;nmsRootRecipient;occasional;2024-11-06;UK;M;en;True
CRM0000001123;Nita;Pruitt;nitagpruitt8422@emailsim.io;coffeeworks;01/06/1940;nmsRootRecipient;occasional;2023-03-28;DE;F;de;False
CRM0000001124;Kian;Bell;kianbell8527@yopmail.com;coffeeworks;12/04/1989;nmsRootRecipient;active_medium;2024-02-12;UK;M;en;True
